,BDI,CPI,EFFR,IPI,Unemployment,CRB_Change,Fed_Assets_Change,PCE_Change,SP500_Change,USD_Index_Change,CRB_MA_3,CRB_MA_6,CRB_MA_12,CRB_Lag_1,CRB_Lag_2,CRB_Lag_3,CRB_Lag_6
100,-0.6440722281912773,2.304797669173722,0.9109020558737119,0.7896677096349324,0.09713211486231639,0.3097405234360333,-0.36892679824717384,2.3057605924908557,-0.8011944953443426,-0.956801842888605,0.2999633336914062,1.225683485792259,0.9787073372710073,-0.006898312262180045,0.37317659193026986,1.4984680391205356,1.822900163074068
101,-0.6440722281912773,2.4707492794957218,0.9385855959966032,0.728795340100943,0.28505285747192655,-0.27288529597539557,-0.13467498632075306,1.7136912817426502,1.3635374144074732,-1.425173832205879,0.03311854505865445,0.7561422692849142,1.1635961516876951,0.35920717204286545,-0.01049462388563616,0.36902049221353017,1.39398591869434
102,-0.6440722281912773,2.5421337974356732,0.9774200005495158,0.8175872953769905,0.09713211486231639,1.7739660297139692,-0.19229488930970245,1.4915912411553431,0.5161748420708211,-1.5567227972367306,0.8401297507139079,1.1145628672781445,1.658383038405661,-0.22652104961886285,0.35136863915936994,-0.0063146965632905555,0.6102686742881833
103,-0.6440722281912773,2.8981160709029363,1.0359942153348918,0.7716715799612733,0.160665167596438,1.5619136543137568,0.20021529527031054,1.8354659328147136,-0.48859659056574106,-0.3051477957771965,1.392810919859765,1.1342781339573196,1.9296425029647377,1.8312294774915137,-0.22757249839392124,0.3476863609764629,1.5260078917368491
106,-0.6440722281912773,3.1853862545316836,1.2370146926569754,1.213887039216806,0.160665167596438,-0.40892943153652267,2.391949728541398,1.2735938440036705,0.18206896929215918,-0.21041605403120675,0.7382472338043955,1.4207177538481746,1.6838907895331656,0.2339698986532044,1.8359351906207564,1.5649064973122881,0.39925693385126815
142,-0.6440722281912773,3.1418169952208883,1.505876760830477,-1.4534668337145835,1.5090689806173911,-1.402224611921774,-1.931298679669459,0.392821486084753,-1.179362086343892,0.39564234758813394,-1.737979803532145,-1.2238965935947181,-1.4877379537562037,-1.1827897315335243,-1.3514515499242288,-1.2717933361626685,-0.5510470827980165
143,-0.6440722281912773,2.769787916024597,1.5843830312944187,-1.8331355366863102,1.5553047013592831,0.6189978666172103,0.021917380369226764,1.9791409809973888,-0.799938072757186,0.9928701603427915,-0.8451103670506294,-1.4376438449344529,-1.151880434608924,-1.3618739418922967,-1.1727604849717488,-1.3181366426166503,1.3988691885849387
144,-0.6440722281912773,2.4045230059311584,1.7162586161386688,-1.1869123969510835,1.6911760673703433,0.06710332359592427,-0.10707597422903109,0.35216914114640135,-2.102024225429791,1.8887854674609497,-0.27520702265475383,-1.2744819100011193,-0.8241883448815007,0.6701112679861774,-1.3497695697803989,-1.143327999612137,-0.3700394437875111
145,-0.6440722281912773,1.9906979425811315,1.713317671308161,-1.5030722160851728,1.7355530337234948,-1.2908418420976053,-0.27016405200887705,0.10738542893403115,-0.5765840941464833,1.1270964708753066,-0.22604516321924986,-1.2556161295796449,-1.1045915144754912,0.11527796252911932,0.6586701560040713,-1.31649120686651,-1.1864046513858546
147,-0.6440722281912773,2.006059815954039,1.7018181186786958,-1.9608682428612858,1.908730954672611,0.5450779219120726,-1.3310359148290882,1.9775675821068106,-1.4544868571713783,-1.5687676717065118,-0.49355446680659,-0.47445392851289214,-0.8932326428852265,-0.41971387859010745,-1.239091214449386,0.11182210372116076,-1.0606219388501037
149,-0.6440722281912773,1.8047284645463546,1.5098427768959617,-2.417831874626967,2.0753722778546813,0.311454476266357,1.1266637612463404,1.9717567099682507,-0.9648547669940042,0.9644540620446562,-0.5267767788647942,-0.776744140117707,-1.3427031587263054,-2.1062125971182795,0.5852177008439124,-0.40548147584921485,0.6936040366575459
151,-0.6440722281912773,0.8868289842176097,1.2785066387220214,-2.562346259905304,2.1963516534079073,-0.15473455615928491,-0.5156572564179943,0.2195474568743351,-0.038194600011102815,0.6458705819428429,-0.22229653235288177,-0.6855798015978654,-1.172598803497473,-0.709159672756977,0.35307175249255984,-2.036220034796784,-1.124156470827817
154,-0.6440722281912773,0.2535614552116036,1.1125682276876405,-2.2949035353354597,2.4663772344611252,-0.4476929543124834,-0.11655189646375604,-0.47915123383456987,0.19021235438357795,-2.3340707165388173,-1.2769195418934705,-0.9518411507207132,-0.9849772906726266,-1.182694757831719,-1.262052950146429,-0.10382342290885806,-1.934868527095447
155,-0.6440722281912773,0.18650419315439193,1.0514210303998626,-1.2677557621629585,2.314104524626662,0.8647958977172807,-0.06796339051156039,1.2688558953964824,0.7344953719500685,-0.773601027560217,-0.31527003466357234,-0.7922234539875831,-0.9408290269701406,-0.4022595346624335,-1.172666611770958,-1.2306804068064452,0.4008882517846207
156,-0.6440722281912773,0.059908979202804004,1.0490424277332082,-1.9645386232127255,2.314104524626662,2.031905918745019,0.5300984907543485,-0.3754856442432488,0.30639236762994365,0.9689893986779642,1.1218114630541614,0.011105324776902759,-0.5879270012470117,0.9172181397510408,-0.4012746262414938,-1.1432361659949999,-0.6122147373307548
157,-0.6440722281912773,0.1198717891539754,1.0864374477779684,-1.5686099245834575,2.275201444903327,0.9384196404709625,0.025298728360193836,-0.6064318922839622,0.7332978115125582,0.5123170052211923,1.7336105110945241,0.3264382246396156,-0.18752499902688788,2.0905428609086862,0.9029136944678982,-0.3886042192279761,-0.04282438456871896
158,-0.6440722281912773,0.3525274942630508,1.080521463975201,-0.9829722469791459,2.235952555493066,1.3706909546946424,-0.19016748733259087,1.213020819598625,1.9997328986252518,0.5490972899445737,1.9569012563282695,1.1008537015064561,0.14219688462455174,0.9912339187955711,2.0626425988721473,0.8872479932269222,-1.1461502456950061
159,-0.6440722281912773,0.03514852603682978,1.0636013165784184,-0.6342385929356764,2.1963516534079073,-0.22623081587952695,-0.47731831147254544,0.25347405064846007,-0.6425701054628719,0.12036374773900585,0.9602102877968788,1.3886701048722845,0.003660618082237823,1.4258070182359484,0.9760718209371408,2.0217794600684815,-1.0605320229103206
160,-0.6440722281912773,-0.5138794837272543,1.1119010314895352,-0.3960675655497587,2.1963516534079073,-0.27604429611164105,-0.12987654330887938,0.7516385097434051,0.7977643679018147,1.511465448046575,0.4241731122623254,1.4381841343796176,0.33892005674952863,-0.1796181408416458,1.4056093354968746,0.9588166125993671,-0.32165836423155164
161,-0.6440722281912773,-0.5793253299686281,1.1583521097576408,0.11144000484262569,1.908730954672611,0.7446668647030753,-0.9714805623270816,1.8169531642107297,-1.2683465082085612,0.697047040492904,0.14786010295227556,1.4035315332599918,0.4167301786544581,-0.22969687099578268,-0.18121307373617893,1.3790215627443922,0.9275513944973472
166,-0.6440722281912773,0.23163461374938707,1.1802076856945423,2.3048365539855102,1.4151192451318062,0.9733272482283811,0.14718706883551777,-1.0137086415735816,-0.536224702160094,1.1792312867958499,0.32833839282713323,1.5805185827422845,1.9157061072904857,0.502513614654266,-0.7258416636002404,0.3128503236849985,-0.15828541171800836
167,-0.6440722281912773,0.5172555628978093,1.1853913809136203,2.344315499744874,1.2703367338454101,1.316932905867723,0.2372114448238577,1.095841767273295,-0.5477877760665683,1.0032415737760438,1.2513730957737155,1.745595303674858,1.9969153170475493,1.0263274047568915,0.49301452855971795,-0.7061193864231905,0.813214148801177
169,-0.6440722281912773,0.8595964907656782,1.2253171316409228,2.561828432507761,1.1711084908749452,1.5143977444955499,0.25648683845834325,0.5013159507778421,0.13994927428242945,-1.6481832805353058,1.0839726042478777,0.9509818993530547,1.6513457687140618,-0.4227257682250357,1.3521912669808889,0.9927498140280373,0.36514834563460624
170,-0.6440722281912773,0.667487618186635,1.2788937506237386,2.3600373471147438,1.120645416066494,0.20411079967232587,-0.7362262529947099,0.7957729095960476,-0.10325952116091817,0.8909488186517752,0.5927978556950864,1.2332231615822833,1.4418140320947213,1.5702790269015328,-0.42150370877835536,1.3267641089557274,-0.632543152871381
171,-0.6440722281912773,0.5425733359804124,1.2940253818340055,2.334894276144401,0.96570071160571,0.8539838759832314,0.2087393602206546,-0.6164922832070548,-2.0659412341174326,1.8289089954099484,1.1763143393126587,1.349096979571858,1.6358334994526242,0.25301498454723126,1.548407285037655,-0.40839378435500395,0.5349316861190253
172,-0.6440722281912773,0.5376207433697491,1.3626618919689075,2.2612082543930208,0.8592986717928092,-1.0000379453019745,-0.33100722898907203,-0.3299884105565192,0.26019101904729225,0.16006361975879083,0.06649875350364665,0.779857094766706,1.5057955882442662,0.9063485454902679,0.24640694608339517,1.5187169402927272,1.0308501173602662
173,-0.6440722281912773,0.5277751140272721,1.3871470476459005,1.8992029378734094,1.0179554159722182,-1.6774317794453353,-0.31221024272742515,0.6665960285952037,-0.7668555089403466,2.197132046064225,-0.7639719911413344,-0.08390183547105919,1.070757727376439,-0.9575456866610926,0.8921700508575192,0.24500517129892216,1.3578894975528784
175,-0.6440722281912773,0.5131537709900637,1.3826934100982993,1.0771640307889248,0.9128201875251297,-0.5210270418452222,-0.8577628231310014,-0.5662583865392151,-0.3741035912738831,2.338086339743256,-1.4172902346334404,-0.8548385366073459,0.0959603733158768,-1.0632746659637555,-1.6232362534056872,-0.9255311254660659,1.545833953643477
176,-0.6440722281912773,0.5035029077696951,1.2373571937090633,0.8408657216379765,0.96570071160571,-1.0876360683671595,0.46288886447926675,-0.009466500867299712,-0.27056733370475095,0.756935415078452,-1.156967620198001,-1.2274577764575907,0.039686087910918405,-0.47598411611185965,-1.0546302917237305,-1.584016278051205,0.29871994145442243
177,-0.6440722281912773,0.44014792828990035,1.1591694508362098,0.8080215893648125,0.8592986717928092,0.5955636458895054,0.2622160725218649,-0.5349733665230164,-0.7263148738296625,-1.0446179288953565,-0.4062855950924926,-1.3020020637958638,0.06542012030183013,-1.045610257667761,-0.47414492934705427,-1.0277644218527313,0.9172606533296219
